date	authors	isbn	title
July 2014	['Shaun M. Thomas']	9781849516969	PostgreSQL 9 High Availability Cookbook
July 2014	['Robert Carver']	9781612908236	Practical Data Analysis with JMP, 2nd Edition
July 2014	['Richard C. Zink']	9781612909912	Risk-Based Monitoring and Fraud Detection in Clinical Trials Using JMP and SAS
July 2014	['Patricia Berglund', 'Steven G. Heeringa']	9781612904528	Multiple Imputation of Missing Data Using SAS
June 2014	['John Mylopoulos', 'Michael L. Brodie']	9780934613538	Readings in Artificial Intelligence and Databases
June 2014	['Susan Prosser', 'Stuart Gripman']	0636920033271	FileMaker Pro 13: The Missing Manual
June 2014	['Antonios Chalkiopoulos']	9781783287017	Programming MapReduce with Scalding
June 2014	['Hussein Nasser']	9781783988648	Learning ArcGIS Geodatabases
June 2014	['Sergio Ramazzina']	9781783289356	Pentaho Business Analytics Cookbook
June 2014	['Byron Ellis']	9781118837917	Real-Time Analytics
June 2014	['Ben Jones']	0636920030942	Communicating Data with Tableau
June 2014	['Garrett Grolemund']	0636920028574	Hands-On Programming with R
June 2014	['MBA Justin Beegel']	9781118792384	Infographics For Dummies
June 2014	['Michele M. Burlew']	9781612906935	SAS Macro Programming Made Easy, 3rd Edition
May 2014	['Reza Rad']	9781849688888	Microsoft SQL Server 2014 Business Intelligence Development Beginner’s Guide
May 2014	['Jordan Tigani', 'Siddartha Naidu']	9781118824825	Google BigQuery Analytics
May 2014	['Rishabh Agrawal']	9781782171560	HP Vertica Essentials
May 2014	['Onofrio Panzarino']	9781783287758	Learning Cypher
May 2014	['Matthew Gillingham']	9781612903224	SAS Programming with Medicare Administrative Data, 2nd Edition
April 2014	['Gethyn Ellis']	9781782172413	Getting Started with SQL Server 2014 Administration
April 2014	['Akhil Wali']	9781783284351	Clojure for Machine Learning
April 2014	['Michael Alexander', 'Jared Decker', 'Bernard Wehbe']	9781118821527	Microsoft Business Intelligence Tools for Excel Analysts
April 2014	['Pradeep Pasupuleti']	9781783285556	Pig Design Patterns
April 2014	['Magulan D']	9781783287352	Getting Started with SOQL
April 2014	['Stephen L. Nelson', 'E. B. Nelson']	9781118898093	Excel Data Analysis For Dummies, 2nd Edition
April 2014	['Charles Bell', 'Mats Kindahl', 'Lars Thalmann']	0636920026907	MySQL High Availability, 2nd Edition
April 2014	['Biju Thomas']	9781118643952	OCA: Oracle Database 12c Administrator Certified Associate Study Guide
